district_id,district_name,state,coverage_ratio,coverage_score,total_demographic_updates,churn_rate,update_spike_detected,demographic_volatility,spike_flag,avg_biometric_age_days,biometric_freshness_score,biometric_failure_rate,child_refresh_gap_months,anomaly_detected,biometric_age_score,child_vulnerability_score,anomaly_score,anomaly_score_anomaly,spike_count,uls_score,risk_classification,auth_failure_probability
D0020,Lohit,Arunachal Pradesh,0.8153,81.53,136971,0.1151,False,11.51,0,1723,31.08,0.0706,50,False,31.08,83.33333333333334,0,37.28523422370088,1,63.0,Watchlist,2.61
D0021,Lower Subansiri,Arunachal Pradesh,0.8782,87.82,131577,0.1911,False,19.11,0,838,66.48,0.155,59,False,66.47999999999999,98.33333333333333,0,3.9273342149863213,0,70.35,Stable,4.6
D0022,Papum Pare,Arunachal Pradesh,0.8104,81.04,21994,0.1044,False,10.440000000000001,0,2340,6.4,0.1898,27,False,6.400000000000006,45.0,0,28.770071187803303,1,62.6,Watchlist,7.1
D0023,Tawang,Arunachal Pradesh,0.9844,98.44000000000001,53589,0.0859,True,8.59,1,1102,55.92,0.1426,56,False,55.92,93.33333333333333,0,40.48420128039348,2,73.22,Stable,3.82
D0024,Tirap,Arunachal Pradesh,0.9866,98.66,77298,0.0945,False,9.45,0,1309,47.64,0.1689,20,False,47.64,33.33333333333333,0,6.582860280177797,0,80.09,Stable,3.36
D0025,Upper Siang,Arunachal Pradesh,0.8383,83.83,242214,0.1114,False,11.14,0,2367,5.32,0.1757,33,False,5.319999999999993,55.00000000000001,0,10.049991860644186,0,61.56,Watchlist,6.75
D0026,Upper Subansiri,Arunachal Pradesh,0.827,82.69999999999999,140721,0.2912,False,29.12,0,2244,10.24,0.0567,16,False,10.239999999999995,26.666666666666668,0,8.426015891026323,0,64.0,Watchlist,2.04
D0027,West Kameng,Arunachal Pradesh,0.8729,87.29,277933,0.2098,False,20.979999999999997,0,1198,52.08,0.186,19,False,52.08,31.666666666666664,0,19.094758768526738,1,76.31,Stable,4.41
D0028,West Siang,Arunachal Pradesh,0.9122,91.22,124445,0.1094,False,10.94,0,643,74.28,0.0401,56,True,74.28,93.33333333333333,50,32.19277854548602,1,67.8,Watchlist,1.29
D0029,Baksa,Assam,0.9857,98.57000000000001,148397,0.092,False,9.2,0,1013,59.48,0.0713,47,False,59.48,78.33333333333333,0,21.401510988706896,1,76.31,Stable,1.69
D0030,Barpeta,Assam,0.9618,96.17999999999999,44218,0.1506,False,15.06,0,1935,22.6,0.2659,40,False,22.599999999999994,66.66666666666666,0,37.54750348693367,1,67.24,Watchlist,8.71
D0031,Bongaigaon,Assam,0.8471,84.71,139623,0.2159,False,21.59,0,1257,49.72,0.1933,36,False,49.72,60.0,0,12.505799684310656,0,70.6,Stable,5.68
D0032,Cachar,Assam,0.8894,88.94,130609,0.2177,False,21.77,0,2420,3.2,0.196,20,False,3.200000000000003,33.33333333333333,0,8.937691392688121,0,64.22,Watchlist,7.01
D0033,Chirang,Assam,0.8576,85.76,142496,0.208,False,20.8,0,1551,37.96,0.3045,12,False,37.96,20.0,0,11.07772551798407,0,74.1,Stable,7.89
D0034,Darrang,Assam,0.838,83.8,148613,0.0646,False,6.460000000000001,0,1043,58.28,0.1279,22,False,58.28,36.666666666666664,0,33.84033360509663,1,78.24,Stable,2.78
D0035,Dhemaji,Assam,0.8383,83.83,53901,0.2055,False,20.549999999999997,0,2034,18.64,0.3125,57,False,18.64,95.0,0,10.944839149556476,0,57.48,Watchlist,13.29
D0036,Dhubri,Assam,0.8543,85.42999999999999,154856,0.2815,False,28.15,0,1294,48.24,0.1504,23,False,48.24,38.333333333333336,0,23.249103699146985,1,72.72,Stable,4.1
D0037,Dibrugarh,Assam,0.9345,93.45,31056,0.1217,False,12.17,0,834,66.64,0.136,34,False,66.64,56.666666666666664,0,34.53346772968523,1,79.37,Stable,2.81
D0038,Goalpara,Assam,0.9295,92.95,64309,0.1736,False,17.36,0,465,81.4,0.1166,34,False,81.4,56.666666666666664,0,9.082972314179107,0,82.13,Stable,2.08
D0039,Golaghat,Assam,0.8424,84.24000000000001,144331,0.1397,False,13.969999999999999,0,1080,56.8,0.1738,57,False,56.8,95.0,0,8.906269202422653,0,68.13,Watchlist,5.54
D0040,Hailakandi,Assam,0.9732,97.32,129901,0.1968,False,19.68,0,2054,17.84,0.0697,30,False,17.840000000000003,50.0,0,22.933213456354395,1,68.2,Watchlist,2.22
D0041,Jorhat,Assam,0.8744,87.44,70365,0.1291,False,12.91,0,720,71.2,0.0557,53,False,71.2,88.33333333333333,0,46.61024688317873,2,73.85,Stable,1.46
D0042,Kamrup,Assam,0.8827,88.27000000000001,52612,0.1085,False,10.85,0,401,83.96,0.1947,51,False,83.96000000000001,85.0,0,9.407702282646788,0,78.09,Stable,4.27
D0043,Kamrup Metropolitan,Assam,0.9416,94.16,55578,0.2038,False,20.380000000000003,0,2262,9.52,0.2128,39,False,9.519999999999996,65.0,0,8.914363754581919,0,62.82,Watchlist,7.91
D0044,Karbi Anglong,Assam,0.8888,88.88000000000001,124649,0.2625,False,26.25,0,2049,18.04,0.2021,23,False,18.040000000000006,38.333333333333336,0,33.534660828742545,1,66.49,Watchlist,6.77
D0045,Karimganj,Assam,0.9565,95.65,217279,0.0881,False,8.81,0,1460,41.6,0.036,47,False,41.6,78.33333333333333,0,17.689754175604953,1,71.02,Stable,1.04
D0046,Kokrajhar,Assam,0.8753,87.53,87293,0.1244,False,12.44,0,993,60.28,0.173,38,False,60.28,63.33333333333333,0,9.242707570472483,0,74.96,Stable,4.33
D0047,Lakhimpur,Assam,0.8775,87.75,201741,0.0816,False,8.16,0,2482,0.72,0.1124,46,False,0.7199999999999989,76.66666666666667,0,5.816877492062799,0,58.78,Watchlist,4.63
D0048,Morigaon,Assam,0.9215,92.15,189636,0.2524,False,25.240000000000002,0,1670,33.2,0.1038,49,False,33.2,81.66666666666667,0,5.916028119086314,0,64.91,Watchlist,3.64
D0049,Nagaon,Assam,0.981,98.1,124681,0.0907,False,9.07,0,2016,19.36,0.0891,30,False,19.36,50.0,0,8.366730842838445,0,70.41,Stable,2.64
D0050,Nalbari,Assam,0.8562,85.61999999999999,233270,0.2175,False,21.75,0,564,77.44,0.1444,21,True,77.44,35.0,50,25.481541474471477,1,74.03,Stable,3.75
D0051,Sivasagar,Assam,0.883,88.3,100458,0.0993,False,9.93,0,1146,54.16,0.0882,55,False,54.16,91.66666666666666,0,10.309210728232618,0,69.79,Watchlist,2.66
D0052,Sonitpur,Assam,0.7535,75.35,38815,0.2563,False,25.629999999999995,0,1106,55.76,0.0678,52,False,55.76,86.66666666666667,0,9.824358471918627,0,64.7,Watchlist,2.39
D0053,Tinsukia,Assam,0.7921,79.21000000000001,182905,0.2583,False,25.83,0,1487,40.52,0.0499,39,False,40.52,65.0,0,9.10965152298195,0,65.27,Watchlist,1.73
D0054,Udalguri,Assam,0.7615,76.14999999999999,190783,0.2898,False,28.98,0,1889,24.44,0.0878,24,False,24.439999999999998,40.0,0,9.955002279512094,0,63.61,Watchlist,3.2
D0055,Araria,Bihar,0.9556,95.56,54259,0.2179,False,21.790000000000003,0,466,81.36,0.1654,53,False,81.36,88.33333333333333,0,49.85473206413903,2,77.49,Stable,3.72
D0056,Arwal,Bihar,0.8906,89.05999999999999,137136,0.2058,True,20.580000000000002,1,1279,48.84,0.097,19,False,48.84,31.666666666666664,0,44.8207852582334,2,76.09,Stable,2.32
D0057,Aurangabad,Bihar,0.947,94.69999999999999,107485,0.2706,False,27.060000000000002,0,771,69.16,0.0893,14,False,69.16,23.333333333333332,0,4.155022003087375,0,83.14,Stable,1.51
D0058,Banka,Bihar,0.8015,80.15,352504,0.0822,True,8.219999999999999,1,1562,37.52,0.1868,22,False,37.52,36.666666666666664,0,48.326054176848615,2,71.69,Stable,5.29
D0059,Begusarai,Bihar,0.8425,84.25,258402,0.0788,False,7.88,0,1092,56.32,0.1207,28,False,56.32,46.666666666666664,0,3.596065248679466,0,76.17,Stable,2.88
D0060,Bhagalpur,Bihar,0.9009,90.09,171340,0.1523,False,15.229999999999999,0,625,75.0,0.0722,42,True,75.0,70.0,50,8.619952479386766,0,70.49,Stable,2.13
D0061,Bhojpur,Bihar,0.8864,88.64,294494,0.2201,True,22.009999999999998,1,1674,33.04,0.0537,27,False,33.040000000000006,45.0,0,51.154933020849754,2,69.8,Watchlist,1.62
D0062,Buxar,Bihar,0.9581,95.81,84228,0.2765,False,27.650000000000002,0,1537,38.52,0.0377,56,False,38.52,93.33333333333333,0,41.94641235964064,1,65.23,Watchlist,1.31
D0063,Darbhanga,Bihar,0.9666,96.66,159911,0.2554,True,25.540000000000003,1,627,74.92,0.1323,26,False,74.92,43.333333333333336,0,29.73677933553223,1,82.4,Stable,2.33
D0064,East Champaran,Bihar,0.7628,76.28,143416,0.0764,False,7.64,0,1825,27.0,0.1809,39,False,27.0,65.0,0,9.574614583703251,0,63.74,Watchlist,6.56
D0065,Gaya,Bihar,0.9781,97.81,137347,0.2227,False,22.27,0,2488,0.48,0.0766,46,False,0.480000000000004,76.66666666666667,0,8.98550556743091,0,59.62,Watchlist,3.09
D0066,Gopalganj,Bihar,0.8829,88.29,143714,0.1018,False,10.18,0,1903,23.88,0.1293,40,False,23.879999999999995,66.66666666666666,0,41.918635862243065,1,65.93,Watchlist,4.41
D0067,Jamui,Bihar,0.9838,98.38,176165,0.2783,False,27.83,0,1324,47.04,0.1527,26,False,47.04,43.333333333333336,0,7.159563055378225,0,75.6,Stable,3.73
D0068,Jehanabad,Bihar,0.7781,77.81,84065,0.0812,False,8.12,0,926,62.96,0.0483,50,False,62.96,83.33333333333334,0,26.116395727892872,1,70.37,Stable,1.43
D0069,Kaimur,Bihar,0.9472,94.72,179706,0.2532,True,25.319999999999997,1,1016,59.36,0.1436,57,False,59.36,95.0,0,41.02302709460099,2,70.21,Stable,4.28
D0070,Katihar,Bihar,0.9773,97.72999999999999,178823,0.2888,False,28.88,0,1083,56.68,0.1801,23,False,56.68,38.333333333333336,0,2.580696261320535,0,78.41,Stable,3.89
D0071,Khagaria,Bihar,0.884,88.4,244290,0.1205,True,12.049999999999999,1,993,60.28,0.166,51,True,60.28,85.0,50,41.72209981608043,2,64.53,Watchlist,5.89
D0072,Kishanganj,Bihar,0.8625,86.25,238327,0.2453,False,24.529999999999998,0,1813,27.48,0.2579,40,False,27.480000000000004,66.66666666666666,0,21.809043801196932,1,64.07,Watchlist,9.27
D0073,Lakhisarai,Bihar,0.7699,76.99000000000001,177985,0.2713,False,27.13,0,1489,40.44,0.0548,16,False,40.44,26.666666666666668,0,8.142032738469855,0,70.14,Stable,1.64
D0074,Madhepura,Bihar,0.8274,82.74000000000001,159285,0.1762,False,17.62,0,1403,43.88,0.1021,35,False,43.88,58.333333333333336,0,33.8544630995914,1,69.4,Watchlist,3.12
D0075,Madhubani,Bihar,0.802,80.2,106230,0.116,False,11.600000000000001,0,600,76.0,0.0916,44,False,76.0,73.33333333333333,0,6.804080153737571,0,75.32,Stable,2.26
D0076,Munger,Bihar,0.7609,76.09,33614,0.0809,False,8.09,0,2126,14.96,0.1421,32,False,14.959999999999994,53.333333333333336,0,17.25001802330039,1,62.35,Watchlist,5.35
D0077,Muzaffarpur,Bihar,0.7907,79.07,60958,0.188,False,18.8,0,2140,14.4,0.2519,59,False,14.400000000000006,98.33333333333333,0,24.011907411855823,1,54.75,Watchlist,11.4
D0078,Nalanda,Bihar,0.9839,98.39,41335,0.1764,False,17.64,0,2149,14.04,0.3019,27,False,14.040000000000006,45.0,0,49.08820779884809,2,68.63,Watchlist,9.47
D0079,Nawada,Bihar,0.782,78.2,104082,0.2937,False,29.37,0,495,80.2,0.1733,37,False,80.2,61.66666666666667,0,45.80611689314056,2,74.85,Stable,4.36
D0080,Patna,Bihar,0.9739,97.39,137812,0.1886,True,18.86,1,1737,30.52,0.0726,45,False,30.519999999999996,75.0,0,53.97533438411848,2,67.77,Watchlist,2.34
D0081,Purnia,Bihar,0.8653,86.53,48931,0.0604,False,6.04,0,1813,27.48,0.0504,56,True,27.480000000000004,93.33333333333333,50,9.777265886972945,0,55.42,Watchlist,2.25
D0082,Rohtas,Bihar,0.8866,88.66000000000001,103170,0.1323,False,13.23,0,1309,47.64,0.0663,15,False,47.64,25.0,0,7.878934929616377,0,77.77,Stable,1.47
D0083,Saharsa,Bihar,0.9451,94.51,165371,0.2043,False,20.43,0,1683,32.68,0.1373,39,False,32.68000000000001,65.0,0,7.905893459368755,0,68.71,Watchlist,4.3
D0084,Samastipur,Bihar,0.8407,84.07,24372,0.1015,False,10.15,0,593,76.28,0.1477,28,True,76.28,46.666666666666664,50,41.22022785860731,1,73.27,Stable,3.95
D0085,Saran,Bihar,0.7613,76.13,92407,0.0606,False,6.0600000000000005,0,954,61.84,0.0646,40,False,61.84,66.66666666666666,0,20.123736227755742,1,72.39,Stable,1.78
D0086,Sheikhpura,Bihar,0.8239,82.39,14765,0.2414,False,24.14,0,868,65.28,0.1833,57,False,65.28,95.0,0,5.018039486425434,0,68.17,Watchlist,5.83
D0087,Sheohar,Bihar,0.9312,93.12,17483,0.18,False,18.0,0,1661,33.56,0.1147,12,False,33.56,20.0,0,5.128457412212906,0,75.63,Stable,2.8
D0088,Sitamarhi,Bihar,0.8959,89.59,95902,0.1161,True,11.61,1,1119,55.24,0.1776,28,True,55.24,46.666666666666664,50,32.91339578997035,1,69.45,Watchlist,5.43
D0089,Siwan,Bihar,0.8582,85.82,187131,0.0802,False,8.02,0,1079,56.84,0.0464,48,False,56.84,80.0,0,7.766269298105091,0,71.75,Stable,1.31
D0090,Supaul,Bihar,0.8602,86.02,14065,0.2727,False,27.27,0,1101,55.96,0.0435,46,False,55.96,76.66666666666667,0,7.9526607179509785,0,69.21,Watchlist,1.34
D0091,Vaishali,Bihar,0.8334,83.34,194983,0.0536,False,5.36,0,1122,55.12,0.153,17,False,55.12,28.333333333333332,0,45.25646467332661,2,78.73,Stable,3.25
D0092,West Champaran,Bihar,0.7865,78.64999999999999,213080,0.0554,False,5.54,0,1495,40.2,0.0737,55,False,40.2,91.66666666666666,0,41.404614915873736,2,64.06,Watchlist,2.65
D0093,Balod,Chhattisgarh,0.9598,95.98,64712,0.1017,False,10.17,0,2345,6.2,0.0909,46,False,6.200000000000003,76.66666666666667,0,38.50448164872486,1,62.32,Watchlist,3.43
D0094,Baloda Bazar,Chhattisgarh,0.7713,77.13,304070,0.1363,True,13.63,1,832,66.72,0.1453,46,False,66.72,76.66666666666667,0,30.89297479689324,1,71.27,Stable,4.17
D0095,Balrampur,Chhattisgarh,0.8655,86.55000000000001,242130,0.1573,False,15.73,0,1906,23.76,0.1817,28,False,23.760000000000005,46.666666666666664,0,11.293189143506314,0,67.55,Watchlist,5.9
D0096,Bastar,Chhattisgarh,0.9296,92.96,37514,0.0887,False,8.870000000000001,0,2274,9.04,0.1535,18,False,9.040000000000006,30.0,0,7.391784993221953,0,69.32,Watchlist,4.71
D0097,Bemetara,Chhattisgarh,0.8385,83.85000000000001,233428,0.0875,False,8.75,0,443,82.28,0.1333,38,False,82.28,63.33333333333333,0,25.809288823693702,1,79.91,Stable,2.68
D0098,Bijapur,Chhattisgarh,0.9149,91.49000000000001,143794,0.192,False,19.2,0,2073,17.08,0.2787,51,True,17.08,85.0,50,33.47303797716886,1,53.59,Watchlist,12.93
D0099,Bilaspur,Chhattisgarh,0.8082,80.82000000000001,288170,0.1198,True,11.98,1,1783,28.68,0.2786,43,False,28.680000000000007,71.66666666666667,0,33.18478234187252,1,63.87,Watchlist,10.07
D0100,Dantewada,Chhattisgarh,0.7787,77.86999999999999,158090,0.1892,False,18.92,0,1640,34.4,0.2018,47,False,34.400000000000006,78.33333333333333,0,6.147903232289635,0,62.37,Watchlist,7.59
D0101,Dhamtari,Chhattisgarh,0.8651,86.50999999999999,128469,0.2063,False,20.630000000000003,0,1722,31.12,0.2026,50,False,31.120000000000005,83.33333333333334,0,9.766295053446628,0,63.14,Watchlist,7.47
D0102,Durg,Chhattisgarh,0.8409,84.09,644359,0.22,True,22.0,1,1761,29.56,0.0383,46,False,29.560000000000002,76.66666666666667,0,48.12408770975179,2,62.82,Watchlist,1.42
D0103,Gariaband,Chhattisgarh,0.8293,82.93,160565,0.0748,False,7.48,0,1882,24.72,0.1867,24,False,24.72,40.0,0,7.055170262603594,0,68.94,Watchlist,5.8
D0104,Janjgir-Champa,Chhattisgarh,0.9542,95.42,36765,0.0694,False,6.94,0,1770,29.2,0.0862,50,False,29.200000000000003,83.33333333333334,0,25.034828323985536,1,67.39,Watchlist,2.81
D0105,Jashpur,Chhattisgarh,0.8759,87.59,125933,0.0751,False,7.51,0,1676,32.96,0.2724,51,False,32.959999999999994,85.0,0,9.732016482698905,0,65.64,Watchlist,9.36
D0106,Kabirdham,Chhattisgarh,0.9702,97.02,14698,0.2845,False,28.449999999999996,0,920,63.2,0.192,43,False,63.2,71.66666666666667,0,42.11371367012618,1,74.89,Stable,4.82
D0107,Kanker,Chhattisgarh,0.9731,97.31,48196,0.181,False,18.099999999999998,0,1854,25.84,0.2753,52,False,25.840000000000003,86.66666666666667,0,4.161048082913353,0,64.94,Watchlist,9.65
D0108,Kondagaon,Chhattisgarh,0.8521,85.21,146081,0.2567,True,25.669999999999998,1,1884,24.64,0.0392,25,True,24.64,41.66666666666667,50,18.321404328282142,1,59.12,Watchlist,1.6
D0109,Korba,Chhattisgarh,0.787,78.7,52486,0.1525,False,15.25,0,801,67.96,0.1276,56,False,67.96000000000001,93.33333333333333,0,37.09309956097781,1,69.31,Watchlist,3.92
D0110,Koriya,Chhattisgarh,0.8817,88.17,111603,0.2619,False,26.19,0,537,78.52,0.0822,33,False,78.52,55.00000000000001,0,6.385453558817399,0,78.9,Stable,1.73
D0111,Mahasamund,Chhattisgarh,0.778,77.8,68766,0.2314,False,23.14,0,1543,38.28,0.162,49,False,38.28,81.66666666666667,0,40.64628474107577,1,62.19,Watchlist,6.13
D0112,Mungeli,Chhattisgarh,0.848,84.8,216657,0.1949,False,19.49,0,1118,55.28,0.072,23,False,55.28,38.333333333333336,0,8.522734658107327,0,75.59,Stable,1.76
D0113,Narayanpur,Chhattisgarh,0.9232,92.32000000000001,95923,0.2112,False,21.12,0,1721,31.16,0.0971,31,False,31.159999999999997,51.66666666666667,0,10.619845553591013,0,69.57,Watchlist,2.95
D0114,Raigarh,Chhattisgarh,0.7893,78.93,274829,0.1892,False,18.92,0,641,74.36,0.0552,36,False,74.36,60.0,0,34.036207829195305,1,75.43,Stable,1.36
D0115,Raipur,Chhattisgarh,0.8912,89.12,209639,0.1006,True,10.059999999999999,1,2399,4.04,0.1398,29,False,4.040000000000006,48.333333333333336,0,44.17957033708766,2,63.99,Watchlist,5.03
D0116,Rajnandgaon,Chhattisgarh,0.9294,92.94,247978,0.2782,False,27.82,0,1696,32.16,0.3069,55,False,32.16,91.66666666666666,0,9.208645507838893,0,63.0,Watchlist,11.36
D0117,Sukma,Chhattisgarh,0.805,80.5,119549,0.0605,False,6.05,0,2144,14.24,0.0422,18,False,14.239999999999995,30.0,0,9.932888083899087,0,67.3,Watchlist,1.38
D0118,Surajpur,Chhattisgarh,0.79,79.0,75479,0.2358,False,23.580000000000002,0,2181,12.76,0.2139,50,False,12.760000000000005,83.33333333333334,0,40.1732350769796,2,55.85,Watchlist,9.44
D0119,Surguja,Chhattisgarh,0.8248,82.48,92866,0.131,False,13.100000000000001,0,618,75.28,0.166,41,False,75.28,68.33333333333333,0,9.498441481488282,0,76.35,Stable,3.93
D0120,Central Delhi,Delhi,0.8321,83.21,117162,0.2214,False,22.14,0,613,75.48,0.1307,58,False,75.48,96.66666666666667,0,38.83596865358456,1,71.01,Stable,3.79
D0121,East Delhi,Delhi,0.8705,87.05000000000001,160419,0.1565,False,15.65,0,1266,49.36,0.1959,30,False,49.36,50.0,0,8.891074485785674,0,73.61,Stable,5.17
D0122,New Delhi,Delhi,0.9039,90.39,256441,0.1525,False,15.25,0,1957,21.72,0.1855,54,False,21.72,90.0,0,29.245614649081833,1,61.76,Watchlist,7.09
D0123,North Delhi,Delhi,0.968,96.8,73964,0.1994,False,19.939999999999998,0,2483,0.68,0.0941,53,False,0.6800000000000068,88.33333333333333,0,10.455325465875845,0,57.97,Watchlist,3.96
D0124,North East Delhi,Delhi,0.9688,96.88,60906,0.1242,False,12.42,0,1462,41.52,0.1213,52,False,41.52,86.66666666666667,0,44.87805213555423,2,69.58,Watchlist,3.69
D0125,North West Delhi,Delhi,0.7745,77.45,99017,0.2829,False,28.29,0,498,80.08,0.089,46,False,80.08,76.66666666666667,0,9.666010182698107,0,72.51,Stable,2.45
D0126,Shahdara,Delhi,0.8399,83.99,184017,0.1768,False,17.68,0,991,60.36,0.1136,56,False,60.36,93.33333333333333,0,54.16617700835897,2,68.64,Watchlist,3.56
D0127,South Delhi,Delhi,0.7897,78.97,51398,0.2794,False,27.939999999999998,0,1056,57.76,0.041,51,False,57.76,85.0,0,40.51888184395422,1,66.19,Watchlist,1.39
D0128,South East Delhi,Delhi,0.8458,84.58,261566,0.2248,True,22.48,1,1730,30.8,0.1327,30,False,30.799999999999997,50.0,0,41.12861220150701,2,67.2,Watchlist,4.35
D0129,South West Delhi,Delhi,0.8456,84.56,139885,0.2134,False,21.34,0,1950,22.0,0.1229,17,False,22.0,28.333333333333332,0,35.02536315795612,1,68.42,Watchlist,3.88
D0130,West Delhi,Delhi,0.8585,85.85000000000001,15758,0.0912,False,9.120000000000001,0,1748,30.08,0.1204,16,False,30.08,26.666666666666668,0,40.566161298996185,1,72.91,Stable,3.26
D0131,North Goa,Goa,0.7897,78.97,230482,0.245,False,24.5,0,796,68.16,0.1511,33,False,68.16,55.00000000000001,0,9.381209262688497,0,73.81,Stable,3.96
D0132,South Goa,Goa,0.9841,98.41,168656,0.183,False,18.3,0,917,63.32,0.1084,33,False,63.32,55.00000000000001,0,39.424185293144745,2,79.36,Stable,2.24
D0133,Ahmedabad,Gujarat,0.8929,89.29,39286,0.1008,False,10.08,0,1349,46.04,0.1953,43,False,46.04,71.66666666666667,0,43.859000730079416,1,71.04,Stable,5.66
D0134,Amreli,Gujarat,0.8633,86.33,61602,0.2047,False,20.47,0,1758,29.68,0.1243,39,False,29.680000000000007,65.0,0,10.253581217972222,0,65.5,Watchlist,4.29
D0135,Anand,Gujarat,0.8783,87.83,115762,0.2637,False,26.369999999999997,0,1707,31.72,0.1451,40,False,31.72,66.66666666666666,0,9.682784039868132,0,65.32,Watchlist,5.03
D0136,Aravalli,Gujarat,0.9308,93.08,13392,0.187,False,18.7,0,1000,60.0,0.1012,55,False,60.0,91.66666666666666,0,7.799553362870598,0,71.37,Stable,2.9
D0137,Banaskantha,Gujarat,0.8479,84.78999999999999,189388,0.108,False,10.8,0,523,79.08,0.1112,23,False,79.08,38.333333333333336,0,24.443128984679255,1,82.84,Stable,1.91
D0138,Bharuch,Gujarat,0.8314,83.14,110073,0.2035,False,20.349999999999998,0,1296,48.16,0.11,58,True,48.16,96.66666666666667,50,7.395763319376332,0,56.93,Watchlist,4.74
D0139,Bhavnagar,Gujarat,0.9233,92.33,40292,0.0738,False,7.380000000000001,0,1357,45.72,0.1585,58,False,45.72,96.66666666666667,0,11.394573584912374,0,68.52,Watchlist,4.99
D0140,Botad,Gujarat,0.8204,82.04,51856,0.1728,False,17.28,0,2286,8.56,0.2095,20,False,8.560000000000002,33.33333333333333,0,9.948590305366384,0,64.16,Watchlist,7.51
