district_id,district_name,state,year,fingerprint_updates,iris_updates,photo_updates,total_biometric_updates,child_biometric_updates,senior_biometric_updates,avg_biometric_age_days,biometric_freshness_score,biometric_failure_rate,last_update_gap_months,child_refresh_gap_months,anomaly_detected,authentication_success_rate
D0005,Krishna,Andhra Pradesh,2020,363592,219939,342112,925643,29694,29126,2222,11.12,0.1972,7,31,False,0.8028
D0005,Krishna,Andhra Pradesh,2021,379833,166753,237842,784428,99380,51964,2386,4.56,0.1201,19,17,False,0.8799
D0005,Krishna,Andhra Pradesh,2022,215638,217324,289259,722221,24227,45266,2167,13.32,0.1096,39,19,False,0.8904
D0005,Krishna,Andhra Pradesh,2023,284098,193911,103407,581416,81990,14030,1452,41.92,0.1354,39,21,False,0.8646
D0005,Krishna,Andhra Pradesh,2024,405191,90736,346105,842032,64227,14955,1169,53.24,0.081,38,56,False,0.919
D0005,Krishna,Andhra Pradesh,2025,343013,212859,245755,801627,60863,22186,1950,22.0,0.0944,45,42,False,0.9056
D0006,Kurnool,Andhra Pradesh,2020,56549,56931,46906,160386,23487,8687,975,61.0,0.0497,22,13,False,0.9503
D0006,Kurnool,Andhra Pradesh,2021,78434,31668,69770,179872,27870,3572,688,72.48,0.1062,34,31,True,0.8938
D0006,Kurnool,Andhra Pradesh,2022,35004,34408,79433,148845,8210,15109,1538,38.48,0.0306,10,48,False,0.9694
D0006,Kurnool,Andhra Pradesh,2023,56680,48415,78364,183459,12723,9144,1557,37.72,0.2557,7,17,False,0.7443
D0006,Kurnool,Andhra Pradesh,2024,94466,13685,101379,209530,9276,11291,1102,55.92,0.1399,40,51,False,0.8601
D0006,Kurnool,Andhra Pradesh,2025,89046,72682,108864,270592,13843,4692,2044,18.24,0.0381,34,42,False,0.9619
D0007,Nellore,Andhra Pradesh,2020,290014,70094,222986,583094,21986,28483,2451,1.96,0.2101,30,44,True,0.7899
D0007,Nellore,Andhra Pradesh,2021,148009,177428,107771,433208,43740,36521,600,76.0,0.063,26,29,False,0.937
D0007,Nellore,Andhra Pradesh,2022,171734,150814,214501,537049,82066,9488,1291,48.36,0.1306,18,41,False,0.8694
D0007,Nellore,Andhra Pradesh,2023,166724,44261,165311,376296,78448,32122,738,70.48,0.1014,27,46,False,0.8986
D0007,Nellore,Andhra Pradesh,2024,194158,74223,233495,501876,21294,17360,1903,23.88,0.1584,46,50,False,0.8416
D0007,Nellore,Andhra Pradesh,2025,327866,151357,220287,699510,28901,18698,1811,27.56,0.1324,26,41,False,0.8676
D0008,Prakasam,Andhra Pradesh,2020,53030,81423,248476,382929,56450,37479,742,70.32,0.1722,27,56,True,0.8278
D0008,Prakasam,Andhra Pradesh,2021,305394,177078,132698,615170,55926,27960,1250,50.0,0.0728,45,57,False,0.9272
D0008,Prakasam,Andhra Pradesh,2022,355554,51296,108673,515523,80297,21122,1122,55.12,0.132,35,37,False,0.868
D0008,Prakasam,Andhra Pradesh,2023,208649,93411,99988,402048,28286,15480,1421,43.16,0.091,45,14,False,0.909
D0008,Prakasam,Andhra Pradesh,2024,116276,170336,178043,464655,46478,43530,2225,11.0,0.0451,22,34,False,0.9549
D0008,Prakasam,Andhra Pradesh,2025,284586,53891,245477,583954,23314,14417,376,84.96,0.1164,7,26,False,0.8836
D0009,Srikakulam,Andhra Pradesh,2020,65487,15319,33124,113930,7006,12439,1583,36.68,0.0478,7,52,False,0.9522
D0009,Srikakulam,Andhra Pradesh,2021,78675,15344,100694,194713,18795,8559,2257,9.72,0.2587,31,48,False,0.7413
D0009,Srikakulam,Andhra Pradesh,2022,79186,8727,45869,133782,23404,11255,1078,56.88,0.1305,29,27,False,0.8695
D0009,Srikakulam,Andhra Pradesh,2023,33860,48106,50238,132204,7268,4555,2479,0.84,0.1475,34,36,False,0.8525
D0009,Srikakulam,Andhra Pradesh,2024,71185,26751,36508,134444,15012,10787,1725,31.0,0.263,28,22,False,0.737
D0009,Srikakulam,Andhra Pradesh,2025,48761,47673,98222,194656,10131,10002,1863,25.48,0.1581,31,52,False,0.8419
D0010,Visakhapatnam,Andhra Pradesh,2020,108060,97744,127701,333505,17039,8874,1534,38.64,0.0763,36,49,False,0.9237
D0010,Visakhapatnam,Andhra Pradesh,2021,45341,89729,114391,249461,39730,23851,1806,27.76,0.0407,23,44,False,0.9593
D0010,Visakhapatnam,Andhra Pradesh,2022,46514,70333,75059,191906,15693,11456,1779,28.84,0.262,11,25,True,0.738
D0010,Visakhapatnam,Andhra Pradesh,2023,159086,66759,65766,291611,45644,14082,751,69.96,0.0551,13,12,False,0.9449
D0010,Visakhapatnam,Andhra Pradesh,2024,191078,46357,83645,321080,39989,15160,2196,12.16,0.2888,6,35,False,0.7112
D0010,Visakhapatnam,Andhra Pradesh,2025,108733,61106,92927,262766,20734,14029,899,64.04,0.0577,37,39,False,0.9423
D0011,Vizianagaram,Andhra Pradesh,2020,319230,121959,124254,565443,28174,30387,1886,24.56,0.2286,44,58,False,0.7714
D0011,Vizianagaram,Andhra Pradesh,2021,327136,187099,241140,755375,43105,12539,2224,11.04,0.0323,42,35,False,0.9677
D0011,Vizianagaram,Andhra Pradesh,2022,426512,52269,223459,702240,28342,16900,684,72.64,0.0485,10,22,False,0.9515
D0011,Vizianagaram,Andhra Pradesh,2023,294019,155370,138262,587651,108154,24841,1334,46.64,0.0373,32,40,False,0.9627
D0011,Vizianagaram,Andhra Pradesh,2024,153038,53268,234748,441054,52850,44954,1459,41.64,0.0698,17,16,True,0.9302
D0011,Vizianagaram,Andhra Pradesh,2025,270659,44847,257720,573226,79850,17440,710,71.6,0.1293,6,21,False,0.8707
D0012,West Godavari,Andhra Pradesh,2020,167545,165115,148935,481595,46540,30406,1130,54.8,0.0241,6,43,True,0.9759
D0012,West Godavari,Andhra Pradesh,2021,212110,127761,204286,544157,34828,16439,1304,47.84,0.1601,31,57,False,0.8399
D0012,West Godavari,Andhra Pradesh,2022,190415,87416,224403,502234,56525,40241,1778,28.88,0.0431,8,21,False,0.9569
D0012,West Godavari,Andhra Pradesh,2023,214745,171370,124234,510349,43432,37790,1592,36.32,0.1816,14,52,False,0.8184
D0012,West Godavari,Andhra Pradesh,2024,246726,29395,161215,437336,22597,18737,446,82.16,0.0872,40,17,False,0.9128
D0012,West Godavari,Andhra Pradesh,2025,164684,153319,113624,431627,27850,22437,1952,21.92,0.2023,32,37,False,0.7977
D0013,YSR Kadapa,Andhra Pradesh,2020,130553,111876,90762,333191,80991,21437,1179,52.84,0.0783,23,55,False,0.9217
D0013,YSR Kadapa,Andhra Pradesh,2021,187698,95767,278942,562407,43881,10013,2499,0.04,0.1426,43,17,False,0.8574
D0013,YSR Kadapa,Andhra Pradesh,2022,77492,184613,270058,532163,90633,31910,630,74.8,0.1757,37,36,False,0.8243
D0013,YSR Kadapa,Andhra Pradesh,2023,304107,42872,119905,466884,21436,14106,745,70.2,0.0709,10,25,False,0.9291
D0013,YSR Kadapa,Andhra Pradesh,2024,366826,138121,240964,745911,42684,39867,885,64.6,0.0935,47,43,False,0.9065
D0013,YSR Kadapa,Andhra Pradesh,2025,332505,88792,127881,549178,75745,37771,1645,34.2,0.0436,8,43,False,0.9564
D0014,Anjaw,Arunachal Pradesh,2020,175764,38725,220932,435421,23930,35365,818,67.28,0.1075,22,35,False,0.8925
D0014,Anjaw,Arunachal Pradesh,2021,173171,143817,159494,476482,56103,10518,2434,2.64,0.0657,26,33,False,0.9343
D0014,Anjaw,Arunachal Pradesh,2022,252635,164283,210791,627709,93348,15751,1239,50.44,0.1878,20,59,False,0.8122
D0014,Anjaw,Arunachal Pradesh,2023,151875,189283,246566,587724,91479,14273,2244,10.24,0.3163,9,15,False,0.6837
D0014,Anjaw,Arunachal Pradesh,2024,130562,70173,197673,398408,20831,47190,951,61.96,0.0911,41,50,False,0.9089
D0014,Anjaw,Arunachal Pradesh,2025,162515,174589,320911,658015,83287,42579,2329,6.84,0.2938,6,59,False,0.7062
D0015,Changlang,Arunachal Pradesh,2020,182224,76888,131016,390128,18593,22267,674,73.04,0.0734,21,13,False,0.9266
D0015,Changlang,Arunachal Pradesh,2021,58434,37156,44083,139673,13590,16137,1291,48.36,0.1712,27,39,False,0.8288
D0015,Changlang,Arunachal Pradesh,2022,127351,99043,40760,267154,36636,19963,1183,52.68,0.0337,39,41,False,0.9663
D0015,Changlang,Arunachal Pradesh,2023,130484,53175,76607,260266,19951,8283,2260,9.6,0.067,34,28,False,0.933
D0015,Changlang,Arunachal Pradesh,2024,80012,74255,43728,197995,27652,23257,2090,16.4,0.1654,32,25,False,0.8346
D0015,Changlang,Arunachal Pradesh,2025,105905,51030,83710,240645,28285,10882,811,67.56,0.101,9,37,False,0.899
D0016,East Kameng,Arunachal Pradesh,2020,19871,49238,35093,104202,30372,4748,2285,8.6,0.252,35,48,False,0.748
D0016,East Kameng,Arunachal Pradesh,2021,103765,28040,60195,192000,26060,5794,607,75.72,0.0353,26,20,False,0.9647
D0016,East Kameng,Arunachal Pradesh,2022,125671,71899,65867,263437,8596,14434,1372,45.12,0.1173,21,20,False,0.8827
D0016,East Kameng,Arunachal Pradesh,2023,36717,40145,32542,109404,27605,10007,1893,24.28,0.3429,45,14,False,0.6571
D0016,East Kameng,Arunachal Pradesh,2024,132096,46183,45549,223828,29612,15040,2415,3.4,0.1163,33,52,False,0.8837
D0016,East Kameng,Arunachal Pradesh,2025,31911,18038,57922,107871,14108,11572,1084,56.64,0.1638,20,48,False,0.8362
D0017,East Siang,Arunachal Pradesh,2020,85360,37592,78014,200966,10798,6749,1062,57.52,0.1282,17,43,False,0.8718
D0017,East Siang,Arunachal Pradesh,2021,85581,40343,42207,168131,26032,7162,1565,37.4,0.0965,32,34,False,0.9035
D0017,East Siang,Arunachal Pradesh,2022,103775,22923,71299,197997,23384,2996,1350,46.0,0.0566,32,20,False,0.9434
D0017,East Siang,Arunachal Pradesh,2023,85062,42028,34321,161411,16610,5427,956,61.76,0.1547,22,36,False,0.8453
D0017,East Siang,Arunachal Pradesh,2024,19255,44517,69930,133702,12497,10613,1229,50.84,0.0366,44,22,False,0.9634
D0017,East Siang,Arunachal Pradesh,2025,47914,28806,52959,129679,5968,3066,1616,35.36,0.2237,42,29,False,0.7763
D0018,Itanagar,Arunachal Pradesh,2020,19484,43853,40047,103384,15376,9184,1257,49.72,0.1321,44,13,False,0.8679
D0018,Itanagar,Arunachal Pradesh,2021,42732,19078,40843,102653,19001,9753,2215,11.4,0.0919,29,16,False,0.9081
D0018,Itanagar,Arunachal Pradesh,2022,13281,11697,36199,61177,10155,4193,754,69.84,0.0512,44,32,False,0.9488
D0018,Itanagar,Arunachal Pradesh,2023,78864,29587,34951,143402,5998,7907,1050,58.0,0.0323,27,13,False,0.9677
D0018,Itanagar,Arunachal Pradesh,2024,19412,15157,62587,97156,17394,4700,498,80.08,0.1704,42,20,False,0.8296
D0018,Itanagar,Arunachal Pradesh,2025,30549,14011,19916,64476,13910,5918,901,63.96,0.0689,33,23,False,0.9311
D0019,Kurung Kumey,Arunachal Pradesh,2020,56545,54903,55755,167203,7854,11318,572,77.12,0.0699,25,40,True,0.9301
D0019,Kurung Kumey,Arunachal Pradesh,2021,69085,54832,40603,164520,13328,9433,571,77.16,0.0332,36,43,False,0.9668
D0019,Kurung Kumey,Arunachal Pradesh,2022,64601,26327,42890,133818,7825,6060,2100,16.0,0.0926,29,54,False,0.9074
D0019,Kurung Kumey,Arunachal Pradesh,2023,51878,36819,32186,120883,7636,6132,1188,52.48,0.0383,26,40,False,0.9617
D0019,Kurung Kumey,Arunachal Pradesh,2024,62434,19275,70712,152421,8169,4915,1450,42.0,0.0555,39,30,False,0.9445
D0019,Kurung Kumey,Arunachal Pradesh,2025,91430,15134,54857,161421,14398,12764,2153,13.88,0.057,30,34,False,0.943
D0020,Lohit,Arunachal Pradesh,2020,159948,72954,259029,491931,42199,37259,1898,24.08,0.1179,10,51,False,0.8821
D0020,Lohit,Arunachal Pradesh,2021,358922,104419,112745,576086,57996,19932,2329,6.84,0.105,28,31,False,0.895
D0020,Lohit,Arunachal Pradesh,2022,49906,50396,74048,174350,61675,31901,516,79.36,0.0329,7,23,False,0.9671
D0020,Lohit,Arunachal Pradesh,2023,354832,176857,280060,811749,25916,25778,2101,15.96,0.0408,13,48,False,0.9592
D0020,Lohit,Arunachal Pradesh,2024,351093,62628,199018,612739,53559,27509,1599,36.04,0.2023,14,57,False,0.7977
D0020,Lohit,Arunachal Pradesh,2025,362684,51364,190002,604050,33683,24565,1723,31.08,0.0706,10,50,False,0.9294
D0021,Lower Subansiri,Arunachal Pradesh,2020,89392,71898,57734,219024,19547,30306,760,69.6,0.1157,9,29,False,0.8843
D0021,Lower Subansiri,Arunachal Pradesh,2021,99708,87584,186178,373470,14803,25983,1090,56.4,0.1594,41,32,False,0.8406
D0021,Lower Subansiri,Arunachal Pradesh,2022,258433,115036,63795,437264,14219,27427,2377,4.92,0.1946,20,56,False,0.8054
D0021,Lower Subansiri,Arunachal Pradesh,2023,201166,25865,95397,322428,63823,10119,1157,53.72,0.0236,30,28,False,0.9764
D0021,Lower Subansiri,Arunachal Pradesh,2024,253680,112898,201881,568459,15663,9250,1933,22.68,0.1429,22,36,False,0.8571
D0021,Lower Subansiri,Arunachal Pradesh,2025,112294,40832,134949,288075,21885,10256,838,66.48,0.155,36,59,False,0.845
D0022,Papum Pare,Arunachal Pradesh,2020,236656,204580,250716,691952,36312,33576,1688,32.48,0.2771,20,19,False,0.7229
D0022,Papum Pare,Arunachal Pradesh,2021,308099,123144,185783,617026,45401,33130,2498,0.08,0.2011,43,39,False,0.7989
D0022,Papum Pare,Arunachal Pradesh,2022,231910,140777,128877,501564,83086,28032,1519,39.24,0.0874,14,25,False,0.9126
D0022,Papum Pare,Arunachal Pradesh,2023,392934,104901,181314,679149,93469,30482,1742,30.32,0.0395,25,12,False,0.9605
D0022,Papum Pare,Arunachal Pradesh,2024,187802,186938,199457,574197,22253,47308,969,61.24,0.1365,45,36,False,0.8635
D0022,Papum Pare,Arunachal Pradesh,2025,184606,190978,211992,587576,55461,40995,2340,6.4,0.1898,15,27,False,0.8102
D0023,Tawang,Arunachal Pradesh,2020,169398,113058,87626,370082,63384,31211,681,72.76,0.1097,23,47,False,0.8903
D0023,Tawang,Arunachal Pradesh,2021,157303,174628,112954,444885,87459,34242,1595,36.2,0.13,45,17,False,0.87
D0023,Tawang,Arunachal Pradesh,2022,147048,143841,216684,507573,32932,21022,1023,59.08,0.1323,36,37,False,0.8677
D0023,Tawang,Arunachal Pradesh,2023,355568,215751,139614,710933,50619,47584,2217,11.32,0.2126,39,52,False,0.7874
D0023,Tawang,Arunachal Pradesh,2024,126344,60574,293462,480380,41731,19483,1859,25.64,0.0958,27,41,False,0.9042
D0023,Tawang,Arunachal Pradesh,2025,330875,42619,256054,629548,33839,38753,1102,55.92,0.1426,8,56,False,0.8574
D0024,Tirap,Arunachal Pradesh,2020,68906,83767,99805,252478,72761,23422,1135,54.6,0.1402,28,20,False,0.8598
D0024,Tirap,Arunachal Pradesh,2021,268131,75848,134378,478357,53992,12800,1873,25.08,0.2984,35,30,False,0.7016
D0024,Tirap,Arunachal Pradesh,2022,186057,83363,158696,428116,15066,8903,1690,32.4,0.0783,16,53,False,0.9217
D0024,Tirap,Arunachal Pradesh,2023,274716,99361,131987,506064,20609,30838,2172,13.12,0.2284,17,53,False,0.7716
D0024,Tirap,Arunachal Pradesh,2024,289102,86978,151153,527233,17673,17917,2277,8.92,0.1038,33,21,False,0.8962
D0024,Tirap,Arunachal Pradesh,2025,158929,51796,60559,271284,41952,22043,1309,47.64,0.1689,47,20,False,0.8311
D0025,Upper Siang,Arunachal Pradesh,2020,189879,167212,265540,622631,30617,12981,604,75.84,0.0577,8,41,False,0.9423
D0025,Upper Siang,Arunachal Pradesh,2021,313866,157143,155852,626861,18100,15714,2173,13.08,0.0558,8,42,False,0.9442
D0025,Upper Siang,Arunachal Pradesh,2022,251938,109140,71509,432587,72073,25916,862,65.52,0.1865,32,23,False,0.8135
D0025,Upper Siang,Arunachal Pradesh,2023,234083,95502,255280,584865,27649,31068,853,65.88,0.197,36,21,False,0.803
D0025,Upper Siang,Arunachal Pradesh,2024,52060,41720,137110,230890,58490,22577,2073,17.08,0.2243,19,56,False,0.7757
D0025,Upper Siang,Arunachal Pradesh,2025,226791,90848,119512,437151,51791,30701,2367,5.32,0.1757,47,33,False,0.8243
D0026,Upper Subansiri,Arunachal Pradesh,2020,23329,25643,84048,133020,12864,15460,1022,59.12,0.0772,28,53,False,0.9228
D0026,Upper Subansiri,Arunachal Pradesh,2021,56870,18116,72320,147306,7644,14721,1496,40.16,0.1546,13,23,False,0.8454
D0026,Upper Subansiri,Arunachal Pradesh,2022,28730,72510,88962,190202,26114,9281,860,65.6,0.0452,42,12,False,0.9548
D0026,Upper Subansiri,Arunachal Pradesh,2023,23140,50572,52799,126511,33111,5727,1411,43.56,0.167,7,25,False,0.833
D0026,Upper Subansiri,Arunachal Pradesh,2024,93002,72332,99267,264601,28572,17869,1466,41.36,0.1829,45,42,False,0.8171
D0026,Upper Subansiri,Arunachal Pradesh,2025,58148,29886,50812,138846,32550,9073,2244,10.24,0.0567,7,16,False,0.9433
D0027,West Kameng,Arunachal Pradesh,2020,41802,21155,58672,121629,14621,7975,2459,1.64,0.2407,14,38,False,0.7593
D0027,West Kameng,Arunachal Pradesh,2021,29344,12755,31979,74078,6828,5267,1024,59.04,0.1231,13,20,False,0.8769
D0027,West Kameng,Arunachal Pradesh,2022,72759,35795,49957,158511,21854,5592,2225,11.0,0.1869,43,29,False,0.8131
D0027,West Kameng,Arunachal Pradesh,2023,107985,12572,32396,152953,19864,2859,2447,2.12,0.0744,25,40,False,0.9256
D0027,West Kameng,Arunachal Pradesh,2024,19896,12263,60295,92454,19921,9368,681,72.76,0.0602,9,57,True,0.9398
D0027,West Kameng,Arunachal Pradesh,2025,43618,44915,35394,123927,12023,12138,1198,52.08,0.186,45,19,False,0.814
D0028,West Siang,Arunachal Pradesh,2020,30728,86229,91316,208273,27088,15991,856,65.76,0.1311,35,49,False,0.8689
D0028,West Siang,Arunachal Pradesh,2021,165990,17712,95487,279189,35534,7500,598,76.08,0.0344,24,58,False,0.9656
D0028,West Siang,Arunachal Pradesh,2022,167082,77191,126045,370318,32595,4799,793,68.28,0.1545,46,40,False,0.8455
D0028,West Siang,Arunachal Pradesh,2023,142090,68427,63723,274240,13998,16616,527,78.92,0.064,11,48,False,0.936
D0028,West Siang,Arunachal Pradesh,2024,155696,28593,60777,245066,30677,17919,1833,26.68,0.1237,16,13,False,0.8763
D0028,West Siang,Arunachal Pradesh,2025,100687,14931,77753,193371,9263,7885,643,74.28,0.0401,37,56,True,0.9599
D0029,Baksa,Assam,2020,243491,55270,164992,463753,27652,26888,2471,1.16,0.18,47,30,False,0.82
D0029,Baksa,Assam,2021,370985,36503,92154,499642,62847,45360,1878,24.88,0.1338,37,47,False,0.8662
D0029,Baksa,Assam,2022,183739,127254,306527,617520,83436,40187,1234,50.64,0.115,46,41,False,0.885
D0029,Baksa,Assam,2023,328698,70078,172172,570948,89422,36498,1749,30.04,0.2105,19,54,False,0.7895
D0029,Baksa,Assam,2024,269190,180794,107760,557744,65192,24138,1765,29.4,0.2372,42,59,False,0.7628
D0029,Baksa,Assam,2025,349137,149421,252300,750858,74180,26634,1013,59.48,0.0713,45,47,False,0.9287
D0030,Barpeta,Assam,2020,140909,86335,130844,358088,14330,11864,956,61.76,0.0858,22,23,False,0.9142
D0030,Barpeta,Assam,2021,150505,40943,93796,285244,40848,13446,1242,50.32,0.1312,12,17,False,0.8688
D0030,Barpeta,Assam,2022,100298,25259,70407,195964,48229,19776,835,66.6,0.021,27,13,False,0.979
D0030,Barpeta,Assam,2023,173417,57210,140315,370942,11447,13099,2461,1.56,0.221,21,52,False,0.779
D0030,Barpeta,Assam,2024,95812,102684,119373,317869,44399,22766,621,75.16,0.0416,43,39,False,0.9584
D0030,Barpeta,Assam,2025,30811,52202,135013,218026,29075,21779,1935,22.6,0.2659,38,40,False,0.7341
D0031,Bongaigaon,Assam,2020,85953,18284,121756,225993,10290,6320,1659,33.64,0.1415,6,44,False,0.8585
D0031,Bongaigaon,Assam,2021,75404,74491,76410,226305,17478,6228,940,62.4,0.1273,33,27,False,0.8727
D0031,Bongaigaon,Assam,2022,42530,82203,55735,180468,29636,13624,1802,27.92,0.1031,24,22,False,0.8969
D0031,Bongaigaon,Assam,2023,93374,56798,69648,219820,36800,9768,1770,29.2,0.3026,39,50,False,0.6974
D0031,Bongaigaon,Assam,2024,91272,66400,37409,195081,34871,13253,1842,26.32,0.2477,14,32,False,0.7523
D0031,Bongaigaon,Assam,2025,89116,50397,119910,259423,9162,16787,1257,49.72,0.1933,30,36,False,0.8067
D0032,Cachar,Assam,2020,220467,69319,102844,392630,38882,8039,1925,23.0,0.1699,38,39,False,0.8301
D0032,Cachar,Assam,2021,158213,36152,51633,245998,56758,6256,1009,59.64,0.1133,35,39,False,0.8867
D0032,Cachar,Assam,2022,177492,49311,94996,321799,20714,21260,599,76.04,0.1532,9,33,False,0.8468
D0032,Cachar,Assam,2023,225433,107146,56979,389558,55485,26304,769,69.24,0.1399,34,37,False,0.8601
D0032,Cachar,Assam,2024,198852,46552,51683,297087,33954,7709,1637,34.52,0.2024,32,41,False,0.7976
D0032,Cachar,Assam,2025,70590,69084,127784,267458,26864,21538,2420,3.2,0.196,45,20,False,0.804
D0033,Chirang,Assam,2020,142592,48177,70317,261086,26025,5502,2107,15.72,0.0571,18,32,False,0.9429
D0033,Chirang,Assam,2021,141250,21064,46315,208629,23478,17364,1099,56.04,0.1681,22,32,False,0.8319
D0033,Chirang,Assam,2022,104761,17550,38950,161261,22345,16901,725,71.0,0.0692,27,13,False,0.9308
D0033,Chirang,Assam,2023,100279,12975,101749,215003,11707,17809,454,81.84,0.1496,23,39,False,0.8504
D0033,Chirang,Assam,2024,89254,55171,37542,181967,37241,3730,1254,49.84,0.043,10,24,False,0.957
D0033,Chirang,Assam,2025,111209,14633,34949,160791,18500,6522,1551,37.96,0.3045,16,12,False,0.6955
D0034,Darrang,Assam,2020,152724,179009,158431,490164,34421,14943,1222,51.12,0.0416,37,39,True,0.9584
D0034,Darrang,Assam,2021,386956,217463,252078,856497,88172,38330,2215,11.4,0.2263,18,49,False,0.7737
D0034,Darrang,Assam,2022,207614,181504,217674,606792,52129,39903,674,73.04,0.0252,39,28,False,0.9748
D0034,Darrang,Assam,2023,64764,58164,129601,252529,68501,36503,623,75.08,0.1396,40,37,False,0.8604
D0034,Darrang,Assam,2024,325320,210008,267069,802397,57947,31863,1479,40.84,0.1311,24,27,False,0.8689
D0034,Darrang,Assam,2025,367110,65433,116710,549253,106070,45624,1043,58.28,0.1279,10,22,False,0.8721
D0035,Dhemaji,Assam,2020,75181,88957,167201,331339,27787,5848,1967,21.32,0.073,8,46,False,0.927
D0035,Dhemaji,Assam,2021,68023,117452,74535,260010,22817,6312,1106,55.76,0.1639,43,20,False,0.8361
D0035,Dhemaji,Assam,2022,151073,83846,151963,386882,28641,7120,1529,38.84,0.0506,16,28,False,0.9494
D0035,Dhemaji,Assam,2023,129849,82984,97246,310079,13292,10652,2476,0.96,0.0825,18,46,False,0.9175
D0035,Dhemaji,Assam,2024,217225,108918,81191,407334,24915,16582,1802,27.92,0.1175,27,14,False,0.8825
D0035,Dhemaji,Assam,2025,119119,100450,74089,293658,40988,7799,2034,18.64,0.3125,16,57,False,0.6875
D0036,Dhubri,Assam,2020,21047,25032,34762,80841,15601,7138,734,70.64,0.0703,26,56,False,0.9297
D0036,Dhubri,Assam,2021,78631,34018,19160,131809,13446,4788,1600,36.0,0.1838,13,25,False,0.8162
D0036,Dhubri,Assam,2022,32636,12079,48072,92787,14948,9958,634,74.64,0.0661,20,32,False,0.9339
D0036,Dhubri,Assam,2023,65205,22455,64903,152563,16443,5084,496,80.16,0.1089,44,33,False,0.8911
D0036,Dhubri,Assam,2024,61597,21604,38592,121793,7521,2095,1822,27.12,0.1631,6,34,False,0.8369
D0036,Dhubri,Assam,2025,39462,10057,56610,106129,16773,8109,1294,48.24,0.1504,15,23,False,0.8496
D0037,Dibrugarh,Assam,2020,125110,11224,50078,186412,26408,7707,1900,24.0,0.1806,8,31,True,0.8194
D0037,Dibrugarh,Assam,2021,84839,64157,89439,238435,30301,14823,1419,43.24,0.0528,14,58,False,0.9472
