district_id,district_name,state,year,total_demographic_updates,address_updates,name_updates,dob_updates,mobile_updates,email_updates,gender_updates,update_spike_detected,avg_update_frequency_days,churn_rate
D0011,Vizianagaram,Andhra Pradesh,2021,152843,49112,13248,3969,48143,30053,1487,False,23.88,0.2002
D0011,Vizianagaram,Andhra Pradesh,2022,193226,68989,21849,9147,52615,33964,683,False,18.89,0.2812
D0011,Vizianagaram,Andhra Pradesh,2023,125666,49905,17754,7115,35432,15705,513,False,29.05,0.1898
D0011,Vizianagaram,Andhra Pradesh,2024,173720,55575,8964,13519,44567,27851,298,False,21.01,0.2831
D0011,Vizianagaram,Andhra Pradesh,2025,180105,58574,19482,11883,47000,33856,1231,False,20.27,0.2059
D0012,West Godavari,Andhra Pradesh,2020,16149,7573,1576,971,4204,2096,107,False,226.02,0.1432
D0012,West Godavari,Andhra Pradesh,2021,14963,6571,2160,1193,4003,1874,74,False,243.94,0.1015
D0012,West Godavari,Andhra Pradesh,2022,23187,8541,3445,1630,7449,3055,25,False,157.42,0.1255
D0012,West Godavari,Andhra Pradesh,2023,13063,5239,1179,758,3829,1464,127,False,279.42,0.1613
D0012,West Godavari,Andhra Pradesh,2024,18052,8351,1081,825,5312,2193,119,False,202.19,0.2994
D0012,West Godavari,Andhra Pradesh,2025,13008,4515,1054,571,3074,1565,124,False,280.6,0.0617
D0013,YSR Kadapa,Andhra Pradesh,2020,58566,21988,7624,2698,19351,6914,558,False,62.32,0.1316
D0013,YSR Kadapa,Andhra Pradesh,2021,52475,19874,5815,2449,16338,6445,80,False,69.56,0.1686
D0013,YSR Kadapa,Andhra Pradesh,2022,36222,13436,3259,849,10413,6825,85,False,100.77,0.2162
D0013,YSR Kadapa,Andhra Pradesh,2023,88594,19002,3931,2170,8681,7302,300,True,41.2,0.2948
D0013,YSR Kadapa,Andhra Pradesh,2024,43206,17299,6091,2723,12413,7767,379,False,84.48,0.1688
D0013,YSR Kadapa,Andhra Pradesh,2025,42247,20842,5057,1055,13918,6254,68,False,86.4,0.1543
D0014,Anjaw,Arunachal Pradesh,2020,31237,10749,2056,741,10102,4096,144,False,116.85,0.2599
D0014,Anjaw,Arunachal Pradesh,2021,44809,11751,1877,1411,8537,5481,78,True,81.46,0.144
D0014,Anjaw,Arunachal Pradesh,2022,30409,9166,2909,1208,6321,4410,100,False,120.03,0.2264
D0014,Anjaw,Arunachal Pradesh,2023,45967,8376,3767,1499,8116,2781,36,True,79.4,0.1536
D0014,Anjaw,Arunachal Pradesh,2024,32195,12601,2544,1729,6979,5181,196,False,113.37,0.2967
D0014,Anjaw,Arunachal Pradesh,2025,21586,8676,3041,1448,5895,4199,32,False,169.09,0.0626
D0015,Changlang,Arunachal Pradesh,2020,20623,10141,1325,1129,4998,2637,95,False,176.99,0.0637
D0015,Changlang,Arunachal Pradesh,2021,48817,7904,1634,1158,6906,3143,96,True,74.77,0.2916
D0015,Changlang,Arunachal Pradesh,2022,52761,11113,3243,2258,6085,5483,288,True,69.18,0.2902
D0015,Changlang,Arunachal Pradesh,2023,24378,7382,1846,1145,7409,4225,242,False,149.73,0.1846
D0015,Changlang,Arunachal Pradesh,2024,24317,9267,1627,1912,7975,3643,156,False,150.1,0.1859
D0015,Changlang,Arunachal Pradesh,2025,26662,10745,3973,1511,6816,4724,67,False,136.9,0.1367
D0016,East Kameng,Arunachal Pradesh,2020,139369,55306,18034,7608,35024,25225,438,False,26.19,0.1761
D0016,East Kameng,Arunachal Pradesh,2021,101647,30678,11672,5150,27122,19993,624,False,35.91,0.0849
D0016,East Kameng,Arunachal Pradesh,2022,123976,58714,13427,7820,31713,13543,634,False,29.44,0.2668
D0016,East Kameng,Arunachal Pradesh,2023,100426,49544,14643,3500,25328,19036,974,False,36.35,0.1302
D0016,East Kameng,Arunachal Pradesh,2024,120854,52880,9347,7757,25107,12681,541,False,30.2,0.1289
D0016,East Kameng,Arunachal Pradesh,2025,118314,43083,8190,4563,40964,16695,591,False,30.85,0.2958
D0017,East Siang,Arunachal Pradesh,2020,123114,37000,16619,5275,33783,12407,668,False,29.65,0.1196
D0017,East Siang,Arunachal Pradesh,2021,122344,53517,16085,5510,30151,23708,867,False,29.83,0.0672
D0017,East Siang,Arunachal Pradesh,2022,129353,44499,9753,9398,27608,22188,445,False,28.22,0.2306
D0017,East Siang,Arunachal Pradesh,2023,91483,36760,5848,6584,30256,12975,457,False,39.9,0.2292
D0017,East Siang,Arunachal Pradesh,2024,119420,42221,11132,3043,37257,12092,812,False,30.56,0.1081
D0017,East Siang,Arunachal Pradesh,2025,141449,70524,18073,4745,32024,26397,706,False,25.8,0.2656
D0018,Itanagar,Arunachal Pradesh,2020,253360,122106,34248,5866,54640,39751,1465,False,14.41,0.1492
D0018,Itanagar,Arunachal Pradesh,2021,187517,77605,9414,6683,52081,32294,481,False,19.46,0.2286
D0018,Itanagar,Arunachal Pradesh,2022,410240,57759,17952,7146,64194,21268,1299,True,8.9,0.1885
D0018,Itanagar,Arunachal Pradesh,2023,171643,67115,11389,6564,50319,22344,1561,False,21.27,0.1597
D0018,Itanagar,Arunachal Pradesh,2024,394040,56293,17803,5058,45187,17621,1184,True,9.26,0.1748
D0018,Itanagar,Arunachal Pradesh,2025,171474,60534,15981,13708,39961,18917,1074,False,21.29,0.181
D0019,Kurung Kumey,Arunachal Pradesh,2020,31914,10255,3668,2300,10347,5189,53,False,114.37,0.0623
D0019,Kurung Kumey,Arunachal Pradesh,2021,27756,9079,2109,1196,9477,4469,236,False,131.5,0.0781
D0019,Kurung Kumey,Arunachal Pradesh,2022,37239,13220,4241,1506,13020,4705,130,False,98.02,0.0562
D0019,Kurung Kumey,Arunachal Pradesh,2023,36462,16227,4872,2861,12628,3884,306,False,100.1,0.2118
D0019,Kurung Kumey,Arunachal Pradesh,2024,25196,10835,3735,1882,6698,2620,107,False,144.86,0.2254
D0019,Kurung Kumey,Arunachal Pradesh,2025,31757,9877,2943,1528,10774,5211,120,False,114.94,0.0665
D0020,Lohit,Arunachal Pradesh,2020,453175,111621,26134,15524,70280,38230,846,True,8.05,0.2167
D0020,Lohit,Arunachal Pradesh,2021,136209,41187,8713,8573,47117,27011,741,False,26.8,0.2342
D0020,Lohit,Arunachal Pradesh,2022,179795,74534,11457,13711,45450,26001,1266,False,20.3,0.1136
D0020,Lohit,Arunachal Pradesh,2023,194014,59173,23683,9863,56431,31660,1114,False,18.81,0.2209
D0020,Lohit,Arunachal Pradesh,2024,207365,92379,28401,6504,53950,40390,947,False,17.6,0.1814
D0020,Lohit,Arunachal Pradesh,2025,136971,46648,20522,7188,33230,27322,1328,False,26.65,0.1151
D0021,Lower Subansiri,Arunachal Pradesh,2020,119507,53579,14044,3866,30219,13457,259,False,30.54,0.2647
D0021,Lower Subansiri,Arunachal Pradesh,2021,145992,62144,9987,3845,46998,23048,958,False,25.0,0.2258
D0021,Lower Subansiri,Arunachal Pradesh,2022,137098,42670,17103,9740,33303,22490,524,False,26.62,0.0584
D0021,Lower Subansiri,Arunachal Pradesh,2023,119441,39809,14478,3649,28105,17848,1102,False,30.56,0.0861
D0021,Lower Subansiri,Arunachal Pradesh,2024,131864,52761,18616,3797,39148,16257,317,False,27.68,0.1984
D0021,Lower Subansiri,Arunachal Pradesh,2025,131577,47616,12473,5832,45737,17003,480,False,27.74,0.1911
D0022,Papum Pare,Arunachal Pradesh,2020,27619,9716,3807,878,9448,3329,180,False,132.16,0.1864
D0022,Papum Pare,Arunachal Pradesh,2021,31521,10655,3217,1517,6640,5731,126,False,115.8,0.1787
D0022,Papum Pare,Arunachal Pradesh,2022,53016,9185,2638,1347,8859,5258,168,True,68.85,0.0912
D0022,Papum Pare,Arunachal Pradesh,2023,21870,8161,1595,723,4553,2225,42,False,166.9,0.1577
D0022,Papum Pare,Arunachal Pradesh,2024,28529,9360,2638,1155,6490,2872,148,False,127.94,0.1066
D0022,Papum Pare,Arunachal Pradesh,2025,21994,10500,1704,734,7226,3996,110,False,165.95,0.1044
D0023,Tawang,Arunachal Pradesh,2020,48731,15577,4625,3724,16711,6039,322,False,74.9,0.2689
D0023,Tawang,Arunachal Pradesh,2021,40156,12076,2660,1645,9932,7193,286,False,90.9,0.1644
D0023,Tawang,Arunachal Pradesh,2022,35162,16864,5047,2770,11613,4127,49,False,103.81,0.2782
D0023,Tawang,Arunachal Pradesh,2023,99523,11298,4893,922,9823,6293,117,True,36.67,0.2075
D0023,Tawang,Arunachal Pradesh,2024,60516,22322,3399,3876,16839,7341,486,False,60.31,0.1152
D0023,Tawang,Arunachal Pradesh,2025,53589,13324,3223,1784,10745,6685,78,True,68.11,0.0859
D0024,Tirap,Arunachal Pradesh,2020,107691,49247,8009,4130,29342,11449,700,False,33.89,0.1402
D0024,Tirap,Arunachal Pradesh,2021,109151,43661,6852,5996,26739,11290,732,False,33.44,0.1362
D0024,Tirap,Arunachal Pradesh,2022,88276,42213,11596,5552,20949,16862,210,False,41.35,0.0572
D0024,Tirap,Arunachal Pradesh,2023,102868,36562,9769,4188,23239,16684,919,False,35.48,0.0981
D0024,Tirap,Arunachal Pradesh,2024,107109,46364,9033,2264,32504,20838,716,False,34.08,0.1813
D0024,Tirap,Arunachal Pradesh,2025,77298,34792,9634,2220,25639,9810,760,False,47.22,0.0945
D0025,Upper Siang,Arunachal Pradesh,2020,157068,66849,20889,7058,37499,29324,1103,False,23.24,0.172
D0025,Upper Siang,Arunachal Pradesh,2021,153372,65238,13170,12229,41721,22789,934,False,23.8,0.2502
D0025,Upper Siang,Arunachal Pradesh,2022,181480,80529,19713,8990,41531,26567,582,False,20.11,0.1339
D0025,Upper Siang,Arunachal Pradesh,2023,238535,96990,26991,12541,52336,32818,451,False,15.3,0.1617
D0025,Upper Siang,Arunachal Pradesh,2024,218693,75250,14533,9705,74134,37405,1043,False,16.69,0.0711
D0025,Upper Siang,Arunachal Pradesh,2025,242214,104946,19023,13357,52420,47615,623,False,15.07,0.1114
D0026,Upper Subansiri,Arunachal Pradesh,2020,167885,83030,8475,7514,36106,25336,205,False,21.74,0.1052
D0026,Upper Subansiri,Arunachal Pradesh,2021,173440,86581,22556,12268,51215,18064,496,False,21.04,0.1415
D0026,Upper Subansiri,Arunachal Pradesh,2022,128980,56813,10311,4660,45103,23966,602,False,28.3,0.2125
D0026,Upper Subansiri,Arunachal Pradesh,2023,195037,59740,12123,11309,65308,31669,430,False,18.71,0.261
D0026,Upper Subansiri,Arunachal Pradesh,2024,132671,53605,7125,3295,39914,22410,540,False,27.51,0.2534
D0026,Upper Subansiri,Arunachal Pradesh,2025,140721,57471,20660,4062,48004,16645,859,False,25.94,0.2912
D0027,West Kameng,Arunachal Pradesh,2020,246303,74726,35969,5584,54546,24975,1502,False,14.82,0.2165
D0027,West Kameng,Arunachal Pradesh,2021,270755,81945,28213,12880,74415,29030,1938,False,13.48,0.2413
D0027,West Kameng,Arunachal Pradesh,2022,224282,73985,25753,6805,74205,36179,541,False,16.27,0.1796
D0027,West Kameng,Arunachal Pradesh,2023,167473,71237,12614,11425,54039,33142,923,False,21.79,0.2384
D0027,West Kameng,Arunachal Pradesh,2024,287426,71920,18380,4456,46150,32558,1529,True,12.7,0.1157
D0027,West Kameng,Arunachal Pradesh,2025,277933,90545,33907,7245,81565,37689,2251,False,13.13,0.2098
D0028,West Siang,Arunachal Pradesh,2020,123709,55994,16109,5332,32496,12921,445,False,29.5,0.0792
D0028,West Siang,Arunachal Pradesh,2021,134973,63523,14594,3338,30875,19902,574,False,27.04,0.1823
D0028,West Siang,Arunachal Pradesh,2022,146062,67096,12283,9980,36631,15415,874,False,24.99,0.2836
D0028,West Siang,Arunachal Pradesh,2023,158042,76421,22257,8893,44119,24614,1549,False,23.1,0.0766
D0028,West Siang,Arunachal Pradesh,2024,316449,54282,15391,5301,49299,30500,587,True,11.53,0.2181
D0028,West Siang,Arunachal Pradesh,2025,124445,44255,8517,6203,30040,21541,210,False,29.33,0.1094
D0029,Baksa,Assam,2020,137151,50436,14589,4429,42695,14432,1189,False,26.61,0.2686
D0029,Baksa,Assam,2021,191757,47516,8756,7947,23408,12597,581,True,19.03,0.2859
D0029,Baksa,Assam,2022,151491,56847,21561,7981,36427,25789,1049,False,24.09,0.1163
D0029,Baksa,Assam,2023,129731,40269,7960,2625,45395,23381,1048,False,28.14,0.125
D0029,Baksa,Assam,2024,92504,33017,8103,6047,25988,9967,107,False,39.46,0.1526
D0029,Baksa,Assam,2025,148397,63436,19318,7120,37729,16448,1318,False,24.6,0.092
D0030,Barpeta,Assam,2020,34651,14727,5011,1898,9738,3639,54,False,105.34,0.0581
D0030,Barpeta,Assam,2021,40092,17827,2550,2813,8949,5216,129,False,91.04,0.1137
D0030,Barpeta,Assam,2022,95542,13231,5156,810,7676,3651,230,True,38.2,0.178
D0030,Barpeta,Assam,2023,35493,14634,2380,1130,8795,5655,102,False,102.84,0.2925
D0030,Barpeta,Assam,2024,24759,11402,3189,936,5455,2836,180,False,147.42,0.2457
D0030,Barpeta,Assam,2025,44218,19384,2900,1530,14429,5347,73,False,82.55,0.1506
D0031,Bongaigaon,Assam,2020,140109,68593,10628,5636,36475,14728,766,False,26.05,0.1502
D0031,Bongaigaon,Assam,2021,169681,77131,22112,4955,43265,23303,400,False,21.51,0.2268
D0031,Bongaigaon,Assam,2022,151466,56548,9175,8738,33050,30080,1215,False,24.1,0.1946
D0031,Bongaigaon,Assam,2023,233373,95874,15740,9970,76189,38371,1600,False,15.64,0.2735
D0031,Bongaigaon,Assam,2024,234333,74745,24467,15098,73472,37650,586,False,15.58,0.23
D0031,Bongaigaon,Assam,2025,139623,54838,9410,5619,28303,19551,830,False,26.14,0.2159
D0032,Cachar,Assam,2020,116317,37697,15720,3419,40270,21431,640,False,31.38,0.0743
D0032,Cachar,Assam,2021,123818,52950,10524,9373,25982,19184,782,False,29.48,0.1139
D0032,Cachar,Assam,2022,129085,60506,8970,8985,36711,22747,958,False,28.28,0.1922
D0032,Cachar,Assam,2023,172172,66531,25250,8114,38121,23922,1646,False,21.2,0.267
D0032,Cachar,Assam,2024,173330,64138,10109,11001,42765,30903,863,False,21.06,0.2445
D0032,Cachar,Assam,2025,130609,50757,11443,5490,36425,23624,555,False,27.95,0.2177
D0033,Chirang,Assam,2020,143011,52690,9931,7682,35350,15507,1024,False,25.52,0.14
D0033,Chirang,Assam,2021,119518,46045,11262,7185,29558,20110,1056,False,30.54,0.2947
D0033,Chirang,Assam,2022,149863,52969,13810,3846,32798,21197,1178,False,24.36,0.2162
D0033,Chirang,Assam,2023,122310,53131,13887,8359,39602,22849,578,False,29.84,0.1171
D0033,Chirang,Assam,2024,209933,70341,10708,6073,66418,30372,1055,False,17.39,0.2799
D0033,Chirang,Assam,2025,142496,48706,19215,10596,40075,23218,471,False,25.61,0.208
D0034,Darrang,Assam,2020,476265,84977,21224,7348,62055,34867,525,True,7.66,0.2569
D0034,Darrang,Assam,2021,233739,111719,25723,12108,47723,29139,1200,False,15.62,0.1893
D0034,Darrang,Assam,2022,208798,74322,22235,5280,54715,36543,1511,False,17.48,0.1195
D0034,Darrang,Assam,2023,181728,66495,17093,12978,54996,34209,514,False,20.08,0.0649
D0034,Darrang,Assam,2024,224962,82294,18325,11411,76735,23571,938,False,16.22,0.149
D0034,Darrang,Assam,2025,148613,57209,13160,11134,46707,22367,1470,False,24.56,0.0646
D0035,Dhemaji,Assam,2020,44618,14303,5488,1929,14173,6661,117,False,81.81,0.113
D0035,Dhemaji,Assam,2021,42143,13279,4711,2526,10822,8236,373,False,86.61,0.2284
D0035,Dhemaji,Assam,2022,35993,15526,2513,1030,12594,5839,175,False,101.41,0.201
D0035,Dhemaji,Assam,2023,30761,9810,1639,1536,8923,3268,230,False,118.66,0.2213
D0035,Dhemaji,Assam,2024,54812,24019,7581,4214,14964,9330,475,False,66.59,0.1153
D0035,Dhemaji,Assam,2025,53901,23999,3879,2530,17219,8338,369,False,67.72,0.2055
D0036,Dhubri,Assam,2020,213946,69612,23373,10472,62768,21609,589,False,17.06,0.2876
D0036,Dhubri,Assam,2021,195436,75218,23739,10988,47850,27572,578,False,18.68,0.0827
D0036,Dhubri,Assam,2022,315551,59180,13997,12959,44637,20945,1022,True,11.57,0.2519
D0036,Dhubri,Assam,2023,245095,118387,33198,14948,50942,43696,2110,False,14.89,0.1771
D0036,Dhubri,Assam,2024,176141,82621,21615,13887,39341,21588,511,False,20.72,0.0967
D0036,Dhubri,Assam,2025,154856,77383,8127,10857,39458,28518,927,False,23.57,0.2815
D0037,Dibrugarh,Assam,2020,25724,12477,3518,1285,5381,4410,170,False,141.89,0.1897
D0037,Dibrugarh,Assam,2021,27912,11270,4128,1724,8395,3462,214,False,130.77,0.1293
D0037,Dibrugarh,Assam,2022,30692,11015,2328,661,7451,4769,31,False,118.92,0.2704
D0037,Dibrugarh,Assam,2023,32766,13813,2959,1985,7486,5959,67,False,111.4,0.1353
D0037,Dibrugarh,Assam,2024,73633,14622,3396,1075,10541,7043,300,True,49.57,0.2814
D0037,Dibrugarh,Assam,2025,31056,13429,4386,2249,8548,4464,126,False,117.53,0.1217
D0038,Goalpara,Assam,2020,69762,27262,5592,3002,22893,12201,240,False,52.32,0.113
D0038,Goalpara,Assam,2021,74462,30999,7695,4153,18980,13456,425,False,49.02,0.0823
D0038,Goalpara,Assam,2022,60610,29536,4899,4374,19068,7562,80,False,60.22,0.2321
D0038,Goalpara,Assam,2023,48443,18129,4852,3077,10511,6812,259,False,75.35,0.2546
D0038,Goalpara,Assam,2024,47433,21893,5658,2530,14463,6697,106,False,76.95,0.1812
D0038,Goalpara,Assam,2025,64309,23639,9047,3552,13685,9323,502,False,56.76,0.1736
D0039,Golaghat,Assam,2020,131796,52653,10057,8364,30106,24938,642,False,27.69,0.1595
D0039,Golaghat,Assam,2021,165805,63964,17999,8500,36886,17667,1254,False,22.01,0.1398
D0039,Golaghat,Assam,2022,208508,78735,27021,7995,43979,40297,948,False,17.51,0.1198
D0039,Golaghat,Assam,2023,191197,90753,10356,13352,54624,30734,1091,False,19.09,0.0609
D0039,Golaghat,Assam,2024,150020,71282,18787,3159,41638,22946,691,False,24.33,0.2204
D0039,Golaghat,Assam,2025,144331,66361,18806,6482,35004,18530,770,False,25.29,0.1397
D0040,Hailakandi,Assam,2020,105382,38032,5531,2132,24667,14820,912,False,34.64,0.1168
D0040,Hailakandi,Assam,2021,165914,33113,8044,4782,25477,11677,208,True,22.0,0.2263
D0040,Hailakandi,Assam,2022,95790,37714,10453,7012,31929,16722,126,False,38.1,0.2466
D0040,Hailakandi,Assam,2023,80151,32856,10882,3883,16079,8103,380,False,45.54,0.2161
D0040,Hailakandi,Assam,2024,127927,42929,17763,5950,28326,22569,1037,False,28.53,0.2634
D0040,Hailakandi,Assam,2025,129901,61890,12131,8424,45460,22407,263,False,28.1,0.1968
D0041,Jorhat,Assam,2020,64239,25047,8587,3490,22476,8266,226,False,56.82,0.091
D0041,Jorhat,Assam,2021,80169,36762,11269,6293,18827,15082,317,False,45.53,0.2675
D0041,Jorhat,Assam,2022,202986,33251,9286,3718,31011,14515,989,True,17.98,0.1705
D0041,Jorhat,Assam,2023,92404,33559,11358,6697,31492,16679,799,False,39.5,0.2565
D0041,Jorhat,Assam,2024,185959,30830,6633,3900,19717,15927,309,True,19.63,0.0643
D0041,Jorhat,Assam,2025,70365,24196,6785,3236,22513,12239,340,False,51.87,0.1291
D0042,Kamrup,Assam,2020,39598,12311,4619,2710,10941,4176,230,False,92.18,0.1994
D0042,Kamrup,Assam,2021,62213,28619,8909,4119,19420,7677,95,False,58.67,0.0811
D0042,Kamrup,Assam,2022,67081,24013,9075,2901,16668,12981,286,False,54.41,0.0765
D0042,Kamrup,Assam,2023,57784,20673,6273,3205,17790,10084,325,False,63.17,0.2594
D0042,Kamrup,Assam,2024,46293,18586,4172,3300,12257,6416,333,False,78.85,0.0768
D0042,Kamrup,Assam,2025,52612,23522,7850,3038,13444,6451,465,False,69.38,0.1085
D0043,Kamrup Metropolitan,Assam,2020,51560,19518,3504,2819,17721,7749,90,False,70.79,0.1351
D0043,Kamrup Metropolitan,Assam,2021,71259,27572,4937,2242,22469,9018,563,False,51.22,0.1304
D0043,Kamrup Metropolitan,Assam,2022,57340,28018,8209,1858,14549,6590,320,False,63.66,0.2752
D0043,Kamrup Metropolitan,Assam,2023,73901,27839,7329,5451,23722,7417,286,False,49.39,0.1074
D0043,Kamrup Metropolitan,Assam,2024,47859,14719,5472,1710,9947,5891,393,False,76.27,0.1708
D0043,Kamrup Metropolitan,Assam,2025,55578,27542,3893,1829,13548,6517,245,False,65.67,0.2038
D0044,Karbi Anglong,Assam,2020,132864,62871,8930,9437,44067,20586,917,False,27.47,0.1204
D0044,Karbi Anglong,Assam,2021,298332,59865,14626,6424,28367,13350,635,True,12.23,0.1457
D0044,Karbi Anglong,Assam,2022,129127,46631,14113,6748,25916,13847,466,False,28.27,0.0868
D0044,Karbi Anglong,Assam,2023,125981,62319,16258,4356,42361,13771,656,False,28.97,0.2103
